"","dyadID","avg_grbs_A","avg_grbs_P","avg_housework_female_A","avg_housework_female_P","avg_housework_male_A","avg_housework_male_P","genderE_A","genderE_P","housework_fair_A","housework_fair_P","housework_satisfied_A","housework_satisfied_P","partnum2_A","partnum2_P","religion_A","religion_P"
"212",29711478,"3.9","3.55","42.2222222222222","82","20","75","1","0","3","3","5","5","2","2","Christianity","Christianity"
"213",29725014,"3.1","2.65","52","78","70","50","0","1","3","3","4","4","1","1","Christianity","Agnostic"
"214",29725014,"2.65","3.1","78","52","50","70","1","0","3","3","4","4","2","2","Agnostic","Christianity"
"215",29725200,"3","2.6","60","60","60","60","0","1","3","3","5","5","1","1","Christianity","Christianity"
"216",29725200,"2.6","3","60","60","60","60","1","0","3","3","5","5","2","2","Christianity","Christianity"
"217",29727375,"3.4","3.5","80","64","70","75","0","1","2","3","3","4","1","1","Hinduism","Hinduism"
"218",29727375,"3.5","3.4","64","80","75","70","1","0","3","2","4","3","2","2","Hinduism","Hinduism"
"219",29733249,NA,"3.25",NA,"70",NA,"60",NA,"1",NA,"3",NA,"4",NA,"1",NA,"Christianity"
"220",29733249,"3.25",NA,"70",NA,"60",NA,"1",NA,"3",NA,"4",NA,"2",NA,"Christianity",NA
"221",29733973,"2.6","2.65","66.6666666666667","60","100","20","0","1","1","3","5","5","1","1","Hinduism","Hinduism"
"222",29733973,"2.65","2.6","60","66.6666666666667","20","100","1","0","3","1","5","5","2","2","Hinduism","Hinduism"
"223",29736251,"2.9","2.9","56","58","60","65","0","1","3","3","4","4","1","1","Agnostic","Christianity"
"224",29736251,"2.9","2.9","58","56","65","60","1","0","3","3","4","4","2","2","Christianity","Agnostic"
"225",29751672,"2.6","3.4","60","60","60","60","0","1","3","3","4","5","1","1","Christianity","Christianity"
"226",29751672,"3.4","2.6","60","60","60","60","1","0","3","3","5","4","2","2","Christianity","Christianity"
"227",29752580,"3.55","2.85","22","98","75","40","0","1","1","5","5","2","1","1","Christianity","Christianity"
"228",29752580,"2.85","3.55","98","22","40","75","1","0","5","1","2","5","2","2","Christianity","Christianity"
"229",29758869,"3.25","3.25","57.7777777777778","66.6666666666667","70","40","0","1","3","2","3","4","1","1","Hinduism","Hinduism"
"230",29758869,"3.25","3.25","66.6666666666667","57.7777777777778","40","70","1","0","2","3","4","3","2","2","Hinduism","Hinduism"
"231",29759818,"1.95","2.35","77.7777777777778","68","60","70","0","1","2","3","3","3","1","1","Judaism","Judaism"
"232",29759818,"2.35","1.95","68","77.7777777777778","70","60","1","0","3","2","3","3","2","2","Judaism","Judaism"
"233",29775425,"2.5","1.95","64","68","93.3333333333333","26.6666666666667","0","1","3","3","4","3","1","1","Prefer not to answer","Christianity"
"234",29775425,"1.95","2.5","68","64","26.6666666666667","93.3333333333333","1","0","3","3","3","4","2","2","Christianity","Prefer not to answer"
"235",29778230,"1.7","1.45","58","68","85","35","0","1","3","3","4","4","1","1","Athiest","Athiest"
"236",29778230,"1.45","1.7","68","58","35","85","1","0","3","3","4","4","2","2","Athiest","Athiest"
"237",29779946,"3.65","3.7","48","98","45","90","0","1","1","2","5","5","1","1","Buddhism","Buddhism"
"238",29779946,"3.7","3.65","98","48","90","45","1","0","2","1","5","5","2","2","Buddhism","Buddhism"
"239",29793807,"2.95","2.85","51.1111111111111","80","80","50","0","1","3","3","3","4","1","1","Judaism","Judaism"
"240",29793807,"2.85","2.95","80","51.1111111111111","50","80","1","0","3","3","4","3","2","2","Judaism","Judaism"
"241",29795327,"3.6","3","50","68","90","50","0","1","3","3","5","3","1","1","Prefer not to answer","Prefer not to answer"
"242",29795327,"3","3.6","68","50","50","90","1","0","3","3","3","5","2","2","Prefer not to answer","Prefer not to answer"
"243",29802428,"4.2","3.95","48.8888888888889","71.1111111111111","90","33.3333333333333","0","1","3","3","4","5","1","1","Christianity","Christianity"
